row,type,id,name,desc
1,Deviation,diverging-bar,Diverging bar,A simple standard bar chart that can handle both negative and positive magnitude values
1,Deviation,diverging-stacked-bar,Diverging stacked bar,"Perfect for presenting survey results which involve sentiment (eg disagree, neutral, agreed"
2,Deviation,spine,Spine,Splits a single value into 2 contrasting components (eg Male/Female)
2,Deviation,surplus-deficit-filled-line-2,Surplus/deficit filled line,The shaded area of these charts allows a balance to be shown; either against a baseline or between two serie
2,Deviation,surplus-deficit-filled-line,Surplus/deficit filled area,Same as before.
1,Correlation,scatterplot,Scatterplot,"The standard way to show the relationship between two variables, each of which has its own axis"
1,Correlation,column-line-timeline,Column + line timeline,A good way of showing the relationship over time between an amount (columns) and a rate (line)
1,Correlation,connected-scatterplot,Connected scatterplot,Usually used to show how the relationship between 2 variables has changed over time
2,Correlation,bubble,Bubble,"Like a scatterplot, but adds additional detail by sizing the circles according to a third variable"
2,Correlation,xy-heatmap,X Y Heatmap,"A good way of showing the patterns between 2 categories of data, less good at showing fine differences in amounts"
1,Ranking,ordered-bar,Ordered bar,"Standard bar charts display the ranks of values much more easily when sorted into order"
1,Ranking,ordered-column,Ordered column,See before
1,Ranking,ordered-proportional-symbol,Ordered proportional symbol,"Use when there are big variations between values and/or seeing fine differences between data is not so important."
2,Ranking,dot-strip-plot,Dot strip plot,"Dots placed in order on a strip are a space-efficient method of laying out ranks across multiple categories."
2,Ranking,slope,Slope,Perfect for showing how ranks have changed over time or vary between categories.
3,Ranking,lollipop,Lollipop,Lollipop charts draw more attention to the data value than standard bar/column and can also show rank effectively
3,Ranking,bump,Bump,"Effective for showing changing rankings across multiple dates. For large datasets, consider grouping lines using colour."
1,Distribution,histogram,Histogram,The standard way to show a statistical distribution - keep the gaps between columns small to highlight the 'shape' of the data.
1,Distribution,dot-plot,Dot plot,A simple way of showing the range (min/max) of data across multiple categories.
1,Distribution,dot-strip-plot-2,Dot strip plot,"Good for showing individual values in a distribution, can be a problem when too many dots have the same value"
2,Distribution,barcode-plot,Barcode plot,"Like dot strip plots, good for displaying all the data in a table,they work best when highlighting individual values."
2,Distribution,boxplot,Boxplot,Summarise multiple distributions by showing the median (centre) and range of the data
2,Distribution,violin-plot,Violin plot,Similar to a box plot but more effective with complex distributions (data that cannot be summarised with simple average).
3,Distribution,population-pyramid,Population pyramid,"A standard way for showing the age and sex breakdown of a population distribution; effectively, back to back histograms"
3,Distribution,cumulative-curve,Cumulative curve,"A good way of showing how unequal a distribution is: y axis is always cumulative frequency, x axis is always a measure."
3,Distribution,frequency-polygons,Frequency polygons,"For displaying multiple distributions of data. Like a regular line chart, best limited to a maximum of 3 or 4 datasets"
1,Change-over-Time,line,Line,"The standard way to show a changing time series. If data are irregular, consider markers to represent data points"
1,Change-over-Time,column,Column,Columns work well for showing change over time - but usually best with only one series of data at a time
1,Change-over-Time,column-line-timeline-2,Column + line timeline,A good way of showing the relationship over time between an amount (columns) and a rate (line)
1,Change-over-Time,slope-2,Slope,Good for showing changing data as long as the data can be simplified into 2 or 3 points without missing a key part of story
2,Change-over-Time,area-chart,Area chart,"Use with care. These are good at showing changes to total, but seeing change in components can be very difficult."
2,Change-over-Time,candlestick,Candlestick,"Usually focused on day-to-day activity, these charts show opening/closing and hi/low points of each day"
2,Change-over-Time,fan-chart-projections,Fan chart (projections),Use to show the uncertainty in future projections - usually this grows the further forward to projection
3,Change-over-Time,connected-scatterplot-2,Connected scatterplot,A good way of showing changing data for two variables whenever there is a relatively clear pattern of progression.
3,Change-over-Time,calendar-heatmap,Calendar heatmap,"A great way of showing temporal patterns (daily, weekly, monthly), at the expense of showing precision in quantity"
3,Change-over-Time,priestley-timeline,Priestley timeline,Great when date and duration are key elements of the story in the data
4,Change-over-Time,circle-timeline,Circle timeline,Good for showing discrete values of varying size across multiple categories (eg earthquakes by contintent)
4,Change-over-Time,vertical-timeline,Vertical timeline,Presents time on the Y axis. Good for displaying detailed time series that work especially well when scrolling on mobile
4,Change-over-Time,seismogram,Seismogram,Another alternative to the circle timeline for showing series where there are big variations in the data
4,Change-over-Time,streamgraph,Streamgraph,A type of area chart; use when seeing changes in proportions over time is more important than individual values
1,Magnitude,column-2,Column,The standard way to compare the size of things. Must always start at 0 on the axis
1,Magnitude,bar,Bar,"See before. Good when the data are not time series and labels have long category names."
1,Magnitude,paired-column,Paired column,As per standard column but allows for multiple series. Can become tricky to read with more than 2 series
2,Magnitude,paired-bar,Paired bar,As per standard bar but allows for multiple series. Can become tricky to read with more than 2 series
